순위,카테고리,채널명,구독자수,조회수,비디오수
412,게임,김재원의 즐거운 세상,1620000,2208420000,2907
419,미분류,고누리,1610000,772760000,748
418,TV/방송,그것이 알고싶다,1610000,662100000,971
417,음악/댄스/가수,NU'EST,1610000,282750000,687
416,음식/요리/레시피,먹어볼래TryToEat,1610000,338610000,317
421,TV/방송,it's Live,1600000,551440000,804
420,음식/요리/레시피,파뿌리,1600000,1934830000,1767
423,키즈/어린이,브라보키즈,1590000,1675150000,2828
422,음악/댄스/가수,GENIE MUSIC,1590000,598480000,5168
424,미분류,김소형채널H,1580000,372920000,1081
427,스포츠/운동,힙으뜸,1570000,540500000,507
426,TV/방송,동네놈들,1570000,465060000,529
425,게임,우왁굳의 게임방송,1570000,1766030000,7928
434,키즈/어린이,리틀엔젤 인기동요 어린이노래 - Little Angel,1560000,816790000,427
433,미분류,자취요리신 simple cooking,1560000,335840000,866
432,음악/댄스/가수,성시경 SUNG SI KYUNG,1560000,642300000,461
431,미분류,PREMIUM DANCE STUDIO,1560000,559330000,2368
430,음악/댄스/가수,TJ KARAOKE TJ 노래방 공식 유튜브채널,1560000,2264200000,63475
429,게임,뜨뜨뜨뜨,1560000,878350000,1830
428,키즈/어린이,헬로카봇 - hello carbot official,1560000,1533160000,1632
435,키즈/어린이,Car play toy,1550000,815910000,1397
441,미분류,FIFTY FIFTY Official,1540000,454380000,105
440,키즈/어린이,키글TV - 키즈 앱・장난감,1540000,823610000,2137
439,BJ/인물/연예인,임영웅,1540000,2175680000,677
438,음악/댄스/가수,Lemoring,1540000,1130410000,567
437,교육/강의,사물궁이 잡학지식,1540000,298960000,417
436,BJ/인물/연예인,JAYKEEOUT,1540000,247930000,260
445,음식/요리/레시피,히밥heebab,1530000,604540000,773
444,BJ/인물/연예인,혜리,1530000,101940000,103
443,키즈/어린이,브레드이발소,1530000,826920000,1306
442,게임,겜브링 GGAM BRING,1530000,1873180000,2804
